t,o,h,l,c,v
1643743800000,38449.0,38487.0,38340.0,38369.0,239682
1643744700000,38368.0,38412.0,38337.0,38365.0,203466
1643745600000,38365.0,38539.0,38350.0,38537.0,332009
1643746500000,38536.0,38576.0,38465.0,38519.0,240358
1643747400000,38520.0,38663.0,38518.0,38646.0,252453
1643748300000,38645.0,38710.0,38480.0,38480.0,278811
1643749200000,38481.0,38688.0,38462.0,38597.0,202344
1643750100000,38598.0,38779.0,38597.0,38739.0,177286
1643751000000,38740.0,38799.0,38676.0,38714.0,181535
1643751900000,38713.0,38778.0,38640.0,38771.0,159306
1643752800000,38762.0,38832.0,38741.0,38766.0,143413
1643753700000,38762.0,38762.0,38707.0,38707.0,89457
1643754600000,38708.0,38708.0,38510.0,38609.0,161073
1643755500000,38609.0,38675.0,38570.0,38675.0,92355
1643756400000,38670.0,38688.0,38589.0,38599.0,62711
1643757300000,38599.0,38800.0,38588.0,38755.0,122006
1643758200000,38755.0,38870.0,38665.0,38727.0,195633
1643759100000,38728.0,38798.0,38664.0,38678.0,102710
1643760000000,38677.0,38789.0,38593.0,38757.0,168576
1643760900000,38756.0,38824.0,38716.0,38739.0,114313
1643761800000,38732.0,38732.0,38401.0,38488.0,413763
1643762700000,38488.0,38663.0,38450.0,38540.0,247843
1643763600000,38540.0,38650.0,38500.0,38641.0,114028
1643764500000,38641.0,38641.0,38466.0,38486.0,137799
1643765400000,38483.0,38488.0,38356.0,38399.0,218027
1643766300000,38400.0,38461.0,38391.0,38426.0,98465
1643767200000,38425.0,38541.0,38381.0,38541.0,124841
1643768100000,38541.0,38615.0,38541.0,38587.0,152715
1643769000000,38587.0,38621.0,38537.0,38615.0,108045
1643769900000,38615.0,38646.0,38573.0,38602.0,84387
1643770800000,38603.0,38725.0,38595.0,38713.0,90736
1643771700000,38714.0,38734.0,38633.0,38652.0,68923
1643772600000,38652.0,38653.0,38524.0,38534.0,134953
1643773500000,38533.0,38591.0,38533.0,38539.0,47289
1643774400000,38539.0,38539.0,38402.0,38416.0,136287
1643775300000,38417.0,38519.0,38416.0,38455.0,182979
1643776200000,38454.0,38531.0,38400.0,38498.0,197694
1643777100000,38498.0,38518.0,38409.0,38416.0,91487
1643778000000,38415.0,38500.0,38403.0,38421.0,61589
1643778900000,38421.0,38435.0,38290.0,38348.0,247353
1643779800000,38348.0,38411.0,38328.0,38333.0,139643
1643780700000,38333.0,38397.0,38333.0,38397.0,49545
1643781600000,38400.0,38470.0,38366.0,38458.0,109803
1643782500000,38458.0,38529.0,38414.0,38432.0,153347
1643783400000,38436.0,38464.0,38230.0,38245.0,234415
1643784300000,38247.0,38315.0,38175.0,38266.0,237361
1643785200000,38267.0,38313.0,38206.0,38300.0,148000
1643786100000,38300.0,38343.0,38271.0,38340.0,101498
1643787000000,38341.0,38377.0,38244.0,38277.0,90886
1643787900000,38277.0,38294.0,38200.0,38268.0,110636
1643788800000,38270.0,38376.0,38222.0,38363.0,149345
1643789700000,38359.0,38439.0,38337.0,38355.0,126543
1643790600000,38355.0,38398.0,38336.0,38371.0,66908
1643791500000,38370.0,38442.0,38317.0,38438.0,88119
1643792400000,38437.0,38475.0,38370.0,38401.0,123583
1643793300000,38400.0,38478.0,38372.0,38428.0,74662
1643794200000,38427.0,38494.0,38424.0,38482.0,86846
1643795100000,38482.0,38520.0,38473.0,38507.0,91684
1643796000000,38507.0,38507.0,38400.0,38423.0,70756
1643796900000,38423.0,38499.0,38376.0,38487.0,101851
1643797800000,38487.0,38532.0,38458.0,38480.0,155550
1643798700000,38477.0,38579.0,38470.0,38551.0,161087
1643799600000,38551.0,38554.0,38455.0,38480.0,99783
1643800500000,38480.0,38504.0,38420.0,38503.0,88044
1643801400000,38502.0,38527.0,38449.0,38463.0,71411
1643802300000,38464.0,38535.0,38464.0,38481.0,67141
1643803200000,38480.0,38645.0,38465.0,38640.0,235254
1643804100000,38640.0,38666.0,38541.0,38629.0,253635
1643805000000,38630.0,38690.0,38550.0,38676.0,122990
1643805900000,38676.0,38713.0,38585.0,38691.0,190827
1643806800000,38695.0,38723.0,38552.0,38569.0,201983
1643807700000,38569.0,38586.0,38409.0,38499.0,289494
1643808600000,38499.0,38535.0,38456.0,38470.0,135084
1643809500000,38469.0,38469.0,38319.0,38338.0,277859
1643810400000,38338.0,38408.0,38264.0,38378.0,282641
1643811300000,38378.0,38406.0,38240.0,38327.0,357083
1643812200000,38326.0,38356.0,37742.0,37800.0,2607971
1643813100000,37799.0,37840.0,37571.0,37685.0,1147758
1643814000000,37684.0,37820.0,37551.0,37576.0,1041245
1643814900000,37576.0,37687.0,37501.0,37602.0,716224
1643815800000,37602.0,37650.0,37357.0,37553.0,1102572
1643816700000,37554.0,37572.0,37353.0,37420.0,495628
1643817600000,37419.0,37419.0,37109.0,37153.0,1117633
1643818500000,37152.0,37316.0,37051.0,37217.0,819328
1643819400000,37217.0,37250.0,37080.0,37193.0,347699
1643820300000,37192.0,37363.0,37158.0,37316.0,419785
1643821200000,37316.0,37524.0,37252.0,37410.0,596319
1643822100000,37421.0,37457.0,37334.0,37378.0,300922
1643823000000,37379.0,37388.0,37300.0,37303.0,289481
1643823900000,37303.0,37452.0,37303.0,37434.0,205986
1643824800000,37435.0,37500.0,37380.0,37407.0,200456
1643825700000,37407.0,37440.0,37370.0,37405.0,152795
1643826600000,37405.0,37460.0,37394.0,37454.0,133086
1643827500000,37454.0,37479.0,37359.0,37469.0,141428
1643828400000,37466.0,37542.0,37423.0,37429.0,233603
1643829300000,37440.0,37485.0,37380.0,37481.0,121503
1643830200000,37482.0,37634.0,37475.0,37579.0,335645
1643831100000,37579.0,37627.0,37521.0,37532.0,190725
1643832000000,37533.0,37603.0,37455.0,37573.0,257090
1643832900000,37573.0,37627.0,37458.0,37491.0,253773
1643833800000,37490.0,37515.0,37376.0,37403.0,289014
1643834700000,37402.0,37615.0,37388.0,37540.0,312426
1643835600000,37540.0,37576.0,37229.0,37325.0,505378
1643836500000,37332.0,37399.0,37065.0,37179.0,611474
1643837400000,37181.0,37248.0,36573.0,36678.0,1617520
1643838300000,36677.0,36920.0,36633.0,36897.0,799129
1643839200000,36898.0,37080.0,36814.0,36814.0,713760
1643840100000,36815.0,36979.0,36810.0,36978.0,301936
1643841000000,36979.0,37188.0,36978.0,37140.0,196908
1643841900000,37141.0,37150.0,36940.0,36987.0,167369
1643842800000,36984.0,37079.0,36907.0,37039.0,128071
